Item,Price,Source
PCB + Shipping - Coupons ,9.73,JLCPCB
Xiao Rp2040 ,10.5,https://www.amazon.in/gp/product/B0FVF1V3P4/ref=ewc_pr_img_1?smid=AJ6SIZC8YQDZX&psc=1
Key Caps(pack of 10) + shiping ,5.1 , https://www.amazon.in/gp/product/B0GLPFQK6R/ref=ewc_pr_img_2?smid=ALGLSQ98NPAM0&psc=1
Switches(pack of 10) ,3.65 ,https://neomacro.in/products/hmx-snowfall-tactile-switch?variant=50878813503766
HotSwap(pack of 10),1.55 ,https://neomacro.in/products/kailh-choc-pg1350-hot-swap-sockets?variant=48049369907478
Neomarco shipping, 1.1, neomacro.in
  3D Case Print , max 5 , on #printing-legion-india
  Diodes ( 10 pieces) ,already have,
rotor encoder, already have ,
Total,36.63,
